Comment,Designator,Footprint,LCSC Part #
1u,C2,C0603,
1u,C9,C0402,
2.2k,R3,R0402,
2.2u,C6,C0603,
4.7k,R2,R0402,
10k,R1,R0402,
10n,C8 C10,C0402,
10u/10V,C1,C1206,
100n,C3 C4 C5 C7,C0402,
BOOT0,SJ1,SJ_2S-NO,
ECS-TXO-2520MV-240,Q1,TXCO-25X20,
ICM-42688-P/V,IC3,LGA14-2.5X3,
IMU-ID2,SJ2,SJ_2S-NO,
LDO-TLV767,IC2 IC4,WSON-6-2X2,
NT,JP1,SM04B-SRSS-TB,
STM32G431KB,IC1,UFQFPN32,
green,LED2,CHIPLED_0603,
red,LED1,CHIPLED_0603,
