Comment,Designator,Footprint,LCSC Part #
1u,C3,C0603,
2.2k,R2,R0402,
4.7k,R1,R0402,
10u/10V,C1,SMC_B,
47k,R3 R4,R0402,
100n,C2,C0603,
100n,C4 C5 C6 C7 C8 C9,C0402,
100n,C10,C0603,
CELL-SMD-6P8,BAT1,CELL-RECHARGABLE-6P8,
CSTCE8M00G55-R0,Q1,RESONATOR-SMD,
ECS-327TXO-2012-33-TR,Q2,TXCO-20X12,
LDO-TLV767,IC2,WSON-6-2X2,
NTX,JP1,SM04B-SRSS-TB,
STM32G431CB,IC1,UFQFPN48,
green,LED2,CHIPLED_0603,
red,LED1,CHIPLED_0603,
